date,ticker,confidence,source_article_count,article_titles
2025-05-06,VRTX,medium,1,Why Vertex Pharmaceuticals Stock Is Sinking Today
2025-05-06,ZTS,low,1,"Zoetis Beats Wall Street Estimates, Revises 2025 Guidance To Include Tariffs Impact"
2025-05-07,AMD,low,2,"What's Going On With AMD Stock After Earnings?|AMD Stock Pops on Earnings Beat as AI Chip Revenue Grows by ""Significant Double-Digit Percentage"""
2025-05-07,ANET,low,1,"Arista's Sales, EPS Surge; Stock Slumps"
2025-05-07,APP,medium,1,2 Reasons Why AppLovin Has a Lot to Prove on May 7
2025-05-07,DIS,low,2,Why Disney Stock Is Soaring Today|Disney: Strong in a Tough Environment
2025-05-07,EMR,low,1,"Emerson Delivers Q2 Profit Thanks To Cost Discipline, Raises The Bar for FY25"
2025-05-07,HON,low,1,Why Honeywell Stock Ticked Higher Today
2025-05-07,ORCL,medium,1,"Customer Information System (CIS) Market Analysis Report 2025-2030: Focus on Billing & Revenue Management Software, Meter Data Management Software, Customer Self-Service Portals"
2025-05-07,PLTR,low,1,Why Palantir Stock Skyrocketed 40.3% Last Month but Is Sinking in May
2025-05-07,SMCI,low,1,Why Super Micro Stock Is Sinking Today
2025-05-07,UBER,medium,1,Uber Q1 Earnings: Focus Turns to Future of Autonomous Vehicles
2025-05-07,VRSN,low,1,Why VeriSign Rallied 11.1% in April
2025-05-07,VST,low,1,Why Vistra Stock Dropped After Earnings
2025-05-08,AAPL,low,1,Apple Stock: Do the Risks Outweigh the Reward?
2025-05-08,AMAT,low,1,Chipmakers Enter Bullish Seasonal Window: 5 Stocks That Could Outperform
2025-05-08,AMZN,low,1,Amazon Sell-Off: Why Now May Be the Best Time to Buy Amazon Stock
2025-05-08,CDNS,low,1,Why Cadence Design Systems Rallied 17.1% in April
2025-05-08,COP,low,1,"ConocoPhillips Trims Capex And Operating Cost Outlook, Announces CFO Transition"
2025-05-08,LLY,medium,1,Post-Earnings Dip: Why This Beaten-Down Stock Is a No-Brainer Buy
2025-05-08,MSFT,low,1,5 Stocks That Crushed Earnings and Guidance Forecasts
2025-05-08,OXY,low,1,Why Buffett Holding Occidental Petroleum Rallied Today
2025-05-08,SWKS,low,1,"Skyworks Stock Heads Lower Despite Q2 Profit, Sales Victory"
2025-05-09,AMD,low,1,"AMD Stock Analysis: Buy, Hold, or Sell?"
2025-05-09,CVNA,low,1,Why Carvana Stock Jumped Higher This Week
2025-05-09,MCHP,low,1,Microchip Technology Stock Gains On Uplifting Forecast
2025-05-09,META,medium,1,Why Nearly 20 Analysts Raised Meta Price Targets Post-Earnings
2025-05-09,OXY,low,1,Why Warren Buffett Isn’t Selling Occidental—and Might Soon Add More
2025-05-09,TROW,medium,1,"T. ROWE PRICE GROUP, INC., DECLARES QUARTERLY DIVIDEND AND ANNOUNCES ANNUAL MEETING VOTING RESULTS"
2025-05-09,TTD,low,1,Why The Trade Desk Stock Soared After Earnings
2025-05-09,UBER,low,1,"I'll Take Uber's Revenue and Order-Booking ""Misses"" Any Day of the Week"
2025-05-12,APP,low,1,Is It Too Late to Buy AppLovin Stock After Its Nearly 300% Rise Over the Past Year?
2025-05-12,EXPE,low,1,"Expedia Misses on Weak US Travel Demand, So Why Is Stock Soaring?"
2025-05-12,NRG,low,1,"NRG Energy Surges As Q1 Crushes Forecasts, LS Power Deal Supercharges Long-Term Outlook"
2025-05-12,PLTR,medium,1,"Q1 Earnings Reveal Resilient S&P 500, but Consumer Cracks Are Emerging"
2025-05-13,AMD,low,1,TSMC Delivered Amazing News for AMD and Nvidia Stock Investors
2025-05-13,EBAY,low,1,eBay Nears Big Breakout: Time to Buy the Under-the-Radar Winner?
2025-05-14,NEM,medium,1,Discovery Reports First Quarter 2025 Financial Results
2025-05-15,AMAT,low,1,AMAT Earnings: Demand Holding Up So Far
2025-05-15,CSCO,low,1,Cisco Hits AI Target a Quarter Early
2025-05-15,F,low,1,Can Ford Stock Double by 2030?
2025-05-15,PLTR,low,1,Why Isn't Palantir's Stock Taking Off After Another Strong Quarter?
2025-05-15,WMT,low,2,"Walmart Earnings: Price Hikes Are Coming|Walmart Doesn't Alter Annual Outlook Yet, CEO Says 'All Tariffs Create Cost Pressures But China Has Biggest Impact'"
2025-05-16,DE,low,1,"Deere's Resilience Shines Through Tariffs, Analysts Raise Price Forecasts"
2025-05-19,DE,low,1,Deere & Company Stock Could Rally Another 20% After Strong Q2 Beat
2025-05-20,HD,low,1,"Home Depot: Bulls Target Higher Ground After Earnings Beat, Revenue Surprise"
2025-05-21,AAPL,low,1,"2 Warren Buffett Stocks to Buy With $750 Right Now, According to Wall Street"
2025-05-21,KEYS,medium,1,Keysight Q2 Revenue and EPS Top Guidance
2025-05-21,LOW,low,2,"Lowe's Builds On Momentum With Margin Strength, Despite Decelerated Sales|Lowe's Pro Sales Rise as Outlook Holds"
2025-05-21,PANW,low,2,Palo Alto Networks Stock Dips After Solid Quarter: Should You Buy?|Why Palo Alto Networks Dropped After Earnings Beat
2025-05-21,RJF,low,1,Raymond James Financial Declares Quarterly Dividends on Common and Preferred Stock
2025-05-21,TJX,low,1,TJX Posts Q1 Comps Growth
2025-05-22,ADI,medium,2,Analog Devices Q2 Earnings Top Forecasts|Why Analog Devices Stock Fell by More Than 4% Today
2025-05-22,VZ,medium,1,Verizon reports preliminary results of shareholder vote at 2025 annual meeting
2025-05-23,INTU,low,2,Why Intuit Stock Was Moving Higher Today|Why Intuit’s 15% Revenue Growth and AI Innovation Make It a Market Standout
2025-05-23,PANW,low,1,Is Palo Alto Networks Stock a Buy Now?
2025-05-23,TGT,low,1,"Why Is Target Stock Falling, and Is It a Buying Opportunity?"
2025-05-26,TGT,low,1,Where Will Target Stock Be in 1 Year?
2025-05-27,AZO,medium,1,"AutoZone to Release Third Quarter Fiscal 2025 Earnings May 27, 2025"
2025-05-27,KVUE,low,1,Why Dan Loeb Just Made Kenvue One Of His Top Holdings
2025-05-27,NVDA,medium,1,Bullish NVIDIA Market Set to Surge 50% Ahead of Q1 Earnings
2025-05-28,NVDA,high,5,NVIDIA Sets Conference Call for First-Quarter Financial Results|Should You Buy Nvidia Before May 28?|Should You Buy Nvidia Stock Before May 28? Here's What the Evidence Suggests.|Can Nvidia Beat EPS Forecasts While Losing Ground in China?|Nvidia Q1 Earnings Preview: Will Sales Growth Offset China Export Headwinds?
2025-05-29,CRM,low,1,Salesforce Slides 5% After Earnings Beat—Is the $8B Informatica Bet to Blame?
2025-05-29,NVDA,high,5,Nvidia Delivers Blowout Quarter While Writing Off China|Nvidia Stock Nears Its All-Time High. Is It a Buy Now?|Why Nvidia Stock Is Soaring Today|Nvidia Rides the AI Supercycle With Another Beat - And Still Looks Underpriced|NVIDIA Announces Upcoming Events for Financial Community
2025-05-30,COST,low,1,Why Costco Stock Just Popped
2025-05-30,NVDA,low,1,Is Nvidia Still 1 of the Best Stocks to Buy Now?
2025-06-01,NVDA,low,1,Is Nvidia a Buy?
2025-06-02,TTD,low,1,Why The Trade Desk Stock Popped 40% in May
2025-06-03,DG,low,1,Dollar General Delivers Strong Q1—And Shows Why It's Built for Recession Resilienc
2025-06-04,ADI,low,1,Analog Devices' Cyclical Recovery Story Has Just Begun
2025-06-04,CPB,low,1,Campbell's Q3 Sales Edge Higher
2025-06-04,CRWD,low,1,Overreaction? CrowdStrike Stock Sinks 8% After Mixed Earnings
2025-06-05,AVGO,medium,1,Broadcom Inc. Announces Second Quarter Fiscal Year 2025 Financial Results and Quarterly Dividend
2025-06-05,CIEN,low,1,Why Ciena Stock Is Plummeting Today
2025-06-05,MNST,low,1,Monster Beverage Announces Webcast Details for Annual Meeting of Stockholders
2025-06-06,AMD,low,1,"Dollar General, Disney, and Meta in the Discussion Spotlight"
2025-06-06,AMZN,low,1,Why Credo Technology Rocketed Higher This Week
2025-06-06,LULU,medium,2,"Lululemon Stretched by Tariffs, Macro|Lululemon Q1 Revenue Rises 7%"
2025-06-09,CASY,low,1,"Casey's Tops Estimates, Boosts Dividend"
2025-06-10,AMD,low,1,AMD: Is the Stock Ready for Repricing as AI Revenue Forecasts Climb?
2025-06-10,KO,low,1,Where Will Coca-Cola Stock Be in 5 Years?
2025-06-10,SJM,low,1,Why J.M. Smucker Stock Just Crashed
2025-06-11,CASY,low,1,"Casey’s Surges on Strong Q4, More Gains Likely Ahead"
2025-06-11,NVDA,low,1,Nvidia's $44 Billion AI Boom: The Catalyst Wall Street Is Missing
2025-06-11,ORCL,low,1,Oracle's Cloud Revenue Jumps 27% in Its Fiscal 2025 Q4
2025-06-11,WMT,low,1,3 Resilient Retail Stocks That Are Still Growing Amid Tariffs
2025-06-12,ADBE,medium,1,Adobe Reports AI-Fueled Earnings Beat
2025-06-12,DELL,low,1,Wall Street Sees More Upside for Dell and HPE
2025-06-13,ADBE,medium,1,Adobe Reports Record Q2 Revenue Growth
2025-06-13,BKR,medium,1,Baker Hughes Announces Dates for Second-quarter Earnings Release and Webcast
2025-06-17,FDX,low,1,These 2 Top Industry-Leading Stocks Just Declared Dividend Raises
2025-06-18,DAL,low,1,Think Delta Air Lines Is Expensive? This Chart Might Change Your Mind.
2025-06-19,NOC,medium,1,"Northrop Grumman Announces Webcast, Conference Call of Second Quarter 2025 Financial Results"
2025-06-20,BLK,medium,1,Sampo Group's results for January–June 2025 will be published on 6 August 2025
2025-06-20,VZ,medium,1,Verizon announces expiration and preliminary expiration date results of its private exchange offers for 10 series of notes and expiration of related tender offers open to certain investors
2025-06-23,AAPL,medium,1,What to Expect From the Q2 Earnings Reporting Cycle
2025-06-23,FDS,medium,1,FactSet Schedules Third Quarter 2025 Earnings Call
2025-06-24,AMGN,low,1,Analyst Views Mixed As Amgen's Weight Loss/Diabetes Drug MariTide Shows Promise But Has Dose Issues
2025-06-24,CCL,low,1,"Carnival Cruises to Record Quarter, Lifts Outlook — Time to Buy?"
2025-06-25,CCL,low,1,Where Will Carnival Stock Be in 1 Year?
2025-06-25,CSX,medium,1,CSX Corp. Announces Date for Second Quarter Earnings Release and Earnings Call
2025-06-25,FDX,high,3,"FedEx’s Forecast Silence Signals Deeper Uncertainty Than Investors Expected|FedEx: Controlling What It Can|FedEx Beat Earnings Estimates, but Here’s Why Stock Is Dropping"
2025-06-25,GIS,low,1,Why General Mills Stock Was So Soggy Today
2025-06-25,MU,low,1,Micron Earnings: Rocketing AI Demand
2025-06-25,PAYX,medium,1,Paychex Reports Strong Q4 Revenue Growth
2025-06-26,AMD,low,1,"Micron: A Hot Buy Heats Up, Fresh All-Time Highs Are Coming"
2025-06-26,MKC,low,2,Why McCormick Stock Jumped Today|McCormick Heats Up Consumer Sales in Q2
2025-06-26,MRK,medium,1,Medicenna Therapeutics Reports Fiscal Year 2025 Financial Results and Operational Highlights
2025-06-26,MU,low,2,Micron’s Rally Defies Seasonal Trends—But Can Technicals Keep Up?|Micron Stock Drops Despite Blowout Quarter—Should You Buy?
2025-06-26,NKE,medium,2,"Should You Buy Nike Stock Before June 26?|Nike Q4 Earnings: Revenue Beat, EPS Beat, Headwinds Expected To Moderate Moving Forward, Company Playing 'Sport Offense'"
2025-06-27,MU,low,1,Why Did Micron Stock Drop Despite Crushing Earnings Expectations?
2025-06-29,NKE,low,1,Is It Time to Just Buy Nike Stock as a Turnaround Takes Hold?
2025-06-30,MRNA,low,1,Moderna's mRNA Flu Vaccine Outperforms Standard Shots
2025-06-30,V,medium,1,OBOOK Holdings Inc.(OWLS) to Announce First Half 2025 Financial Results
2025-07-01,BAC,low,1,Bank of America Comments on Stress Test Results; Plans to Increase Quarterly Dividend 8% to $0.28 Per Share
2025-07-01,TFC,medium,1,Truist announces planned capital deployment and stress capital buffer requirement following release of 2025 CCAR results
2025-07-02,ADBE,low,1,Figma Targets Wall Street Debut After $20 Billion Adobe Deal Collapse
2025-07-03,AAPL,low,1,Nike is Back in the Race
2025-07-03,AMAT,low,1,Micron’s Strong Q3 Fuels Bullish Outlook for Applied Materials
2025-07-07,CNC,low,1,"Molina Healthcare Says Higher Medical Cost Trends Bite, Cuts Profit Guidance"
2025-07-09,AAPL,low,1,Technology Sector: Looking at the 'Upside Surprise' Factor Over Last 5 Quarters
2025-07-09,BA,low,1,Boeing’s Delivery Backlog Supports Valuation Upside Despite EPS Losses
2025-07-10,AAPL,medium,1,Buybacks Reach Record Highs as Q2 Earnings Season Approaches
2025-07-11,DAL,low,1,Delta’s Revaluation Reflects Better Macro—But Are Tariff Risks Really Gone?
2025-07-11,GIS,medium,1,"US Cereal Manufacturing Industry Report 2025 / Analytics, Extensive Financial Benchmarks, Metrics and Revenue Forecasts to 2031"
2025-07-14,MU,medium,1,Q2 2025 Earnings Preview: Modest Growth Expected Amidst Economic Crosswinds
2025-07-15,BK,low,1,BNY Mellon Earnings Rise on Digital Push
2025-07-15,BLK,high,3,"Why BlackRock Fell Today|BlackRock's AUM Jumps To $12.53 Trillion, Revenue Up 13%|BlackRock Stock Drops 7% on Revenue Miss — Buy the Dip?"
2025-07-15,DAL,low,1,Delta Air Lines Could Reach New Highs in 2025—And Here’s Why
2025-07-15,NVDA,low,1,S&P 500 Shows No Signs of Weakness
2025-07-16,BAC,medium,2,Bank of America: 8% Dividend Hike in Q2|Bank of America Posts Record Q2 Results
2025-07-16,DAL,low,1,Delta Air Lines Stock Rallies on New Guidance—Can It Keep Going?
2025-07-16,FAST,low,1,"Fastenal Surges After Earnings Beat, Tariff Risks Loom"
2025-07-16,GS,low,1,Goldman Sachs Q2 Profit Jumps
2025-07-16,JNJ,low,1,Why Johnson & Johnson Rallied Today
2025-07-16,MS,low,1,"Morgan Stanley's Wealth Management Adds $59 Billion In Net New Assets, AUM Grows To $1.71 Trillion"
2025-07-16,PLD,low,2,Prologis: Strong Despite Tariff Concerns|Prologis Boosts 2025 Outlook on Growth
2025-07-16,STX,low,1,3 AI Infrastructure Stocks Worth Owning Ahead of Earnings
2025-07-17,ABT,low,1,Eased Tariff Impact Fails To Lift Abbott As Outlook Cut Disappoints Investors
2025-07-17,CFG,low,1,Why This Large Bank Is Outperforming Its Peers
2025-07-17,ELV,medium,2,"Elevance Health Hit By Medicaid Troubles, Trims Outlook|Elevance Stock Faces Headwinds After Q2 EPS Miss and Margin Compression"
2025-07-17,FITB,low,1,Fifth Third Bancorp Raises 2025 Outlook
2025-07-17,JNJ,low,1,Johnson & Johnson Is Back in Rally Mode—The Time to Buy Is Now
2025-07-17,NFLX,medium,2,Should You Buy Netflix Stock Before July 17?|S&P 500: Are Stocks Still Forming a Top?
2025-07-17,PEP,low,2,Why PepsiCo Stock Was Climbing Today|PepsiCo Stock Jumps Despite Mixed Q2 as Dividend Strength Steals Spotlight
2025-07-18,CTAS,medium,1,Cintas Reports Record Revenue and EPS
2025-07-18,GE,low,1,High-Flying GE Aerospace Drops After Blowout Q2 — What Now?
2025-07-18,MMM,medium,2,Here's Why 3M Shares Slumped Today (and Why It Could Be a Good Buying Opportunity)|3M Stock: Strong Q2 Print and Upgraded EPS Guide Reignite Bullish Case
2025-07-18,NFLX,low,2,Why Netflix Stock Dropped on Friday|Netflix Lifts Forecast on Ad Surge
2025-07-18,SLB,low,1,Is SLB’s EBITDA Margin Guidance Realistic as Energy Markets Stabilize?
2025-07-18,SNA,low,1,Snap-On: Snap Up This Strong Signal While It’s Still Cheap
2025-07-21,AAPL,medium,1,"Should You Sell These 2 Popular ""Magnificent Seven"" Stocks Before They Report Earnings?"
2025-07-21,AXP,medium,1,American Express Q2 Earnings Surge
2025-07-21,DPZ,high,3,"Is Domino’s EPS Miss a Blip or a Signal of Deeper Profitability Concerns?|Domino's Expands Footprint, Delivers Strong Sales In Q2|Should You Buy This Warren Buffett Stock After Earnings?"
2025-07-21,GOOG,low,1,2 Stocks That Could Outperform With Earnings in Focus
2025-07-21,HBAN,low,1,Huntington Bancshares Loan Growth Up
2025-07-21,MMM,medium,1,3M Reports 12% EPS Growth in Q2
2025-07-21,SCHW,medium,1,Charles Schwab Q2 Revenue Rises 25%
2025-07-21,T,medium,1,Why AT&T Stock Jumped Today
2025-07-21,TSLA,low,1,Nasdaq 100 Muted With Trade Tariffs and Tech Earnings in Focus
2025-07-21,VZ,medium,1,"Verizon to report earnings July 21, 2025"
2025-07-22,DHI,medium,1,Why D.R. Horton Stock Popped Today
2025-07-22,DHR,low,1,Danaher Raises 2025 Earnings Outlook
2025-07-22,DPZ,low,1,Domino’s Delivers Another Discounted Entry for Income Investors
2025-07-22,GM,medium,2,GM Stock Slides Despite EPS Beat as $1.1B Tariff Hit Erodes Margins|How Tariffs Impacted GM’s Q2 Earnings
2025-07-22,GOOG,low,1,Nasdaq 100: Traders on Alert Ahead of Google and Tesla Earnings
2025-07-22,IBM,medium,1,IBM Earnings Preview: Can Q2 Beat Reverse April’s Post-Earnings Selloff?
2025-07-22,KO,medium,2,"Higher Margins Sweeten Coca-Cola's Q2, Yet Volume Struggles Persist|Coca-Cola Posts 3.6% EPS Growth in Q2"
2025-07-22,LLY,medium,1,3 Healthcare Stocks to Buy Before They Announce Game-Changing Clinical Trial Results
2025-07-22,MSCI,low,1,MSCI Revenue Climbs 9.1% in Q2 2025
2025-07-22,PCAR,low,2,Why Paccar Stock Popped Today|Paccar's Revenue Drops 14% in Q2
2025-07-22,PEP,low,1,Is PepsiCo Stock a Buy After Earnings?
2025-07-22,PHM,low,1,Here’s Why Homebuilder Stocks Are Skyrocketing
2025-07-22,PM,low,1,Marlboro Parent Philip Morris International's Smoke-Free Segment Powers Q2 Gains
2025-07-22,VZ,low,1,A Bullish Storm Is Brewing for High-Yield Verizon’s Share Price
2025-07-22,WRB,low,1,W R Berkley Sets Record Q2 Premiums
2025-07-23,BSX,medium,1,"Boston Scientific Reports Higher Profit Margins In Q2, Lifts Guidance"
2025-07-23,GEV,low,1,Why GE Vernova Stock Soared Today
2025-07-23,GM,medium,1,General Motors Q2 Revenue Down 1.8%
2025-07-23,GOOG,medium,2,Alphabet’s Q2 2025 Results Will Test Market Patience on AI Monetization|Google Q2 Earnings: Wall Street Eyes AI Potential in Upcoming Report
2025-07-23,IBM,low,1,IBM RELEASES SECOND-QUARTER RESULTS
2025-07-23,ISRG,low,1,"ISRG: Solid Numbers, Tariff Concerns"
2025-07-23,KMI,low,1,Kinder Morgan Revenue Jumps 13% in Q2
2025-07-23,KO,low,1,Coca-Cola Q2 Margins Rise; Is KO Stock Undervalued?
2025-07-23,LMT,low,1,Lockheed Martin’s Q2 Stumbles: Profits Down but Geopolitics Up
2025-07-23,MS,low,1,Morgan Stanley Profit Jumps 17% in Q2
2025-07-23,MTB,low,1,M and T Bank EPS Jumps 13 Percent in Q2
2025-07-23,NFLX,low,2,"4 Major Stocks Raise 2025 Guidance, Analyst Targets Rise|Netflix's Growth Is Staggering. But Are Shares Still Attractive?"
2025-07-23,PNC,medium,1,PNC Reports 5% Revenue Gain in Q2
2025-07-23,STLD,low,1,Steel Dynamics Bets on Growth Despite Earnings Miss and Tariff Headwinds
2025-07-23,T,low,1,Why AT&T Stock Bumped Higher Today
2025-07-23,TMO,medium,1,Thermo Fisher Posts 3% Q2 Revenue Gain
2025-07-23,TSLA,medium,2,Tesla Q2 2025 Earnings Preview: What to Expect|‘Magnificent 7’ Earnings Showdown: The AI Haves and the Cyclical Have-Nots
2025-07-24,BX,low,1,Why Blackstone Rallied Today
2025-07-24,DOW,low,1,"Dow’s Q2 Wipeout: Cash Flow Collapses, Debt Rises, and Investors Flee"
2025-07-24,F,medium,1,Gentherm Reports 2025 Second Quarter Results
2025-07-24,GOOG,medium,2,Google Stock Roars As Analysts Race To Raise Price Targets|Cautious Optimism: What Q2 Earnings Say About Corporate America’s Outlook
