"path","date","ticker","model_rank","news_neg_count_5d","ret_5d_pct","verdict","legal_keyword_hit","hit_terms","title","reasoning","keywords"
"us_pipeline/experience/cases/2026-02-18__INTC__conflict_buy_news_negative.md","2026-02-18","INTC","2","3","1.88","model_won","False","","Nvidia Gains as Meta Chip Deal Extends AI Revenue Visibility","Nvidia's Grace and Vera CPUs directly compete with Intel's offerings and are being deployed at scale by Meta. The deal represents a loss of potential market share in the CPU space to Nvidia's Arm-based processors.","AI chips, GPU, semiconductor partnership, data center infrastructure, hyperscaler"
"us_pipeline/experience/cases/2026-02-19__CVNA__conflict_buy_news_negative.md","2026-02-19","CVNA","7","3","-0.73","neutral","False","","Stocks Fall, Oil Hits 7-Month High As Trump Weighs Iran Strike: What's Moving Markets Thursday?","Fell 10.73% on earnings results","Iran strike, oil prices, stock market decline, energy sector, earnings"
"us_pipeline/experience/cases/2026-02-23__CVNA__conflict_buy_news_negative.md","2026-02-23","CVNA","23","3","-1.90","news_won","False","","Stocks Fall, Oil Hits 7-Month High As Trump Weighs Iran Strike: What's Moving Markets Thursday?","Fell 10.73% on earnings results","Iran strike, oil prices, stock market decline, energy sector, earnings"
"us_pipeline/experience/cases/2026-03-04__KKR__conflict_buy_news_negative.md","2026-03-04","KKR","23","3","-12.25","news_won","False","","Stock Market Today, March 3: Blue Owl Falls Amid Rising Private Credit Redemption Activity","Fell 0.15% to $90.55, reflecting caution around credit and private market exposures amid broader redemption concerns affecting alternative asset managers.","private credit, redemptions, asset sales, liquidity concerns, non-bank lenders"
"us_pipeline/experience/cases/2026-03-13__LUV__conflict_buy_news_negative.md","2026-03-13","LUV","8","2","0.30","neutral","False","","Airline Stocks Were Pricing 2026 Like A Runway―Oil Just Made It A Cliff Edge","Stock down 25%, hit particularly hard due to exposure to domestic leisure and price-sensitive traffic, which is more vulnerable to demand destruction from higher fares needed to offset fuel costs.","airline stocks, oil prices, Iran war, fuel costs, earnings impact"
"us_pipeline/experience/cases/2026-03-27__FICO__conflict_buy_news_negative.md","2026-03-27","FICO","22","2","3.26","model_won","False","","Why Is FICO Stock Crashing, and is it a Buying Opportunity?","Stock is crashing and under pressure due to eroding competitive advantage and diminished ability to raise prices for its products and services, indicating weakening business fundamentals.","FICO stock, competitive advantage, pricing power, stock decline, buying opportunity"
"us_pipeline/experience/cases/2026-03-30__FICO__conflict_buy_news_negative.md","2026-03-30","FICO","3","2","2.29","model_won","False","","Why Is FICO Stock Crashing, and is it a Buying Opportunity?","Stock is crashing and under pressure due to eroding competitive advantage and diminished ability to raise prices for its products and services, indicating weakening business fundamentals.","FICO stock, competitive advantage, pricing power, stock decline, buying opportunity"
"us_pipeline/experience/cases/2026-03-31__SMCI__conflict_buy_news_negative.md","2026-03-31","SMCI","13","9","3.15","model_won","True","class action;false statements;lawsuit;misleading statements;securities fraud;shareholder;violations","SMCI Investors Have Opportunity to Lead Super Micro Computer, Inc. Securities Fraud Lawsuit with the Schall Law Firm","The company is facing a securities fraud lawsuit alleging false and misleading statements about export control law violations in China sales, resulting in investor losses.","securities fraud, class action lawsuit, export control violations, false statements, shareholder rights"
"us_pipeline/experience/cases/2026-04-28__SMCI__conflict_buy_news_negative.md","2026-04-28","SMCI","11","6","TBD","TBD","True","class action;lawsuit;misleading statements;securities fraud;violations","Bronstein, Gewirtz & Grossman LLC Urges Super Micro Computer, Inc. Investors to Act: Class Action Filed Alleging Investor Harm","The company is facing a class action lawsuit alleging undisclosed violations of U.S. export control laws, material weaknesses in compliance controls, and misleading statements to investors. These allegations represent serious legal and regulatory risks that could result in significant financial penalties and reputational damage.","class action lawsuit, securities fraud, export control violations, material weaknesses, investor harm"
"us_pipeline/experience/cases/2026-04-29__SMCI__conflict_buy_news_negative.md","2026-04-29","SMCI","11","5","TBD","TBD","True","class action;lawsuit;securities fraud;violation","Super Micro Computer, Inc. Notice of May 26, 2026 Application Deadline for Class Action Lawsuits - Contact Lewis Kahn, Esq. at Kahn Swick & Foti, LLC, Before Application Deadline","Company faces federal securities fraud charges for failing to disclose illegal export scheme; three executives/associates indicted; $2.5 billion in unauthorized server sales to China; 33.3% stock price decline; multiple class action lawsuits filed","securities fraud, class action lawsuit, export control violation, DOJ indictment, AI servers"
